claim_id,claim,source,locator,evidence_kind,repository_symbol,validation_artifact
FCI-ASSUMPTIONS,"FCI's population guarantee assumes causal Markov, Faithfulness, and correct conditional-independence decisions over the observed margin.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 3 §§3.4.1 and 3.4.3, printed pp. 29–31; Chapter 6 §§6.3 and 6.7, printed pp. 129–130 and 139",primary_source,"src/fci_engine/result.py::FCIResult.assumption_notes","tests/test_result_exports.py"
FCI-LATENT,"FCI permits latent variables and does not assume the observed set is causally sufficient.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6 §§6.3 and 6.7, printed pp. 129–130 and 139",primary_source,"src/fci_engine/discovery/fci.py::FCI","tests/test_published_reference_graphs.py"
FCI-PDSEP,"Possible-D-SEP is a computable superset defined by collider-or-triangle path triples, and both ordered endpoint searches are required.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6 §6.7, definition before Fast Causal Inference Algorithm, printed p. 144",primary_source,"src/fci_engine/discovery/pdsep.py::possible_dsep; refine_skeleton_with_pdsep","tests/test_pdsep.py"
FCI-STAGES,"The 2000 FCI schedule is adjacency search, initial collider orientation, Possible-D-SEP refinement, reset/reorientation, then orientation closure.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6 §6.7, Fast Causal Inference Algorithm, printed pp. 144–145",primary_source,"src/fci_engine/discovery/fci.py::FCI.fit","tests/test_published_reference_graphs.py"
FCI-COLLIDER,"An unshielded triple A-B-C is oriented as a collider when B is absent from the separating set of A and C.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6, Causal Inference Algorithm step C, printed p. 139; reused by FCI p. 145",primary_source,"src/fci_engine/discovery/orientation.py::orient_unshielded_colliders","tests/test_orientation.py"
FCI-RESET,"After Possible-D-SEP removals, FCI resets retained endpoints and repeats collider and propagation orientation.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6, FCI continuation, printed p. 145",primary_source,"src/fci_engine/discovery/orientation.py::reset_endpoint_marks","tests/test_published_reference_graphs.py"
FCI-SOUND,"Under Faithfulness and correct decisions, original FCI returns a partially oriented inducing-path graph of the observed margin.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Chapter 6, Theorem 6.4, printed p. 145",primary_source,"src/fci_engine/config.py::FCIConfig.paper","tests/test_published_reference_graphs.py"
FCI-INCOMPLETE,"The 2000 source explicitly leaves maximal informativeness of the original orientation schedule open.","Spirtes, Glymour, and Scheines (2000), Causation, Prediction, and Search, 2nd ed.","Paragraph immediately after Theorem 6.4, printed p. 145",primary_source,"src/fci_engine/discovery/rules.py::apply_orientation_rules[spirtes_2000]","tests/test_published_reference_graphs.py::test_spirtes_paper_profile_stops_before_selection_bias_tail_completion"
PAG-MODERN,"MAG/PAG terminology and closure under marginalization and conditioning are later than the book's inducing-path-graph formulation.","Richardson and Spirtes (2002), Ancestral Graph Markov Models.","Annals of Statistics 30(4), especially definitions and marginalization/conditioning results, pp. 962–1030; DOI 10.1214/aos/1031689015",primary_source,"src/fci_engine/graph/pag.py::PAG","tests/test_pag.py"
PAG-COMPLETE,"Later orientation rules provide completeness for modern PAG representations under latent confounding and selection bias.","Zhang (2008), On the completeness of orientation rules for causal discovery in the presence of latent confounders and selection bias.","Artificial Intelligence 172(16–17), §§3–4, pp. 1873–1896; DOI 10.1016/j.artint.2008.08.001",primary_source,"src/fci_engine/discovery/rules.py::apply_orientation_rules[standard]","tests/test_oracle_pag_rules.py"
FCIPLUS-ORACLE,"FCI+ defines a sparse causal-learning task with a constant-time exact independence oracle and Faithfulness to an underlying causal DAG.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Definition 1 and C-LEARN, p. 173; Algorithm 2 input, p. 178",primary_source,"src/fci_engine/ci/base.py::CITest; src/fci_engine/simulation/mag_oracle.py::MAGOracleCITest","tests/test_oracle_graphs.py"
FCIPLUS-SPARSITY,"The FCI+ theorem assumes constant maximum degree k of the true observed-variable MAG; k is structural rather than merely a tuning cap.","Claassen, Mooij, and Heskes (2013) plus 2014 proof supplement.","Main paper §§1 and 5–6, pp. 173 and 178–179; supplement Theorem 1, PDF pp. 10–11",primary_source,"src/fci_engine/config.py::FCIPlusConfig.paper","tests/test_fci_plus.py"
FCIPLUS-DSEPLINK,"A D-SEP link is a false adjacency whose separation requires a node outside the endpoint-adjacency union.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Definition 2 and Figure 4(b), p. 176",primary_source,"src/fci_engine/discovery/dsep.py::possible_dsep_links","tests/test_published_reference_graphs.py::test_fci_plus_removes_figure4_link_only_in_hierarchical_dsep_stage"
FCIPLUS-AUGMENT,"The augmented skeleton adds invariant arrowheads when a single added adjacent node destroys a recorded minimal independence.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Lemma 2(1), Definition 3, and Algorithm 2 lines 2 and 16, pp. 176 and 178",primary_source,"src/fci_engine/discovery/dsep.py::build_augmented_skeleton; _augment_with_single_node_dependencies","tests/test_fci_plus.py::test_augmented_skeleton_orients_single_node_dependency_arrowheads"
FCIPLUS-PATTERN,"Subject to the hierarchy condition, a candidate D-SEP link appears as the middle of U<->X<->Y<->V with nonadjacent witnesses and cross-direction not-against-arrowhead paths.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Lemma 4, p. 176; Appendix A proof sketch p. 180",primary_source,"src/fci_engine/discovery/dsep.py::_has_dsep_link_witness; _has_not_against_arrowhead_path_to_target","tests/test_fci_plus.py::test_possible_dsep_links_detects_bidirected_witness_pattern"
FCIPLUS-HIERARCHY,"HIE is a fixed-point union of seed nodes and nodes in recorded minimal separators among pairs already in the hierarchy.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Definitions 4–5 and Lemmas 6–7, p. 177",primary_source,"src/fci_engine/discovery/dsep.py::hierarchy","tests/test_fci_plus.py::test_hierarchy_recursively_adds_known_sepsets"
FCIPLUS-REVISIT,"The hierarchy argument orders interdependent D-SEP links and requires candidate reconsideration after a successful removal.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Lemma 5, p. 177; §4.3 and Algorithm 2 lines 16–18, p. 178",primary_source,"src/fci_engine/discovery/dsep.py::refine_skeleton_with_fci_plus_dsep","tests/test_fci_plus.py"
FCIPLUS-ALGO2,"Algorithm 2 consists of bounded PC adjacency search, augmentation, candidate detection, paired endpoint bases, hierarchy testing/minimization, rebuilding, and complete final orientation.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","Algorithm 2 and explanatory text, pp. 178–179",primary_source,"src/fci_engine/discovery/fci_plus.py::FCIPlus.fit; src/fci_engine/discovery/dsep.py","tests/test_published_reference_graphs.py"
FCIPLUS-COMPLEXITY,"For constant k and a constant-time exact oracle, FCI+ has worst-case query complexity O(N^(2(k+2))).","Claassen, Mooij, and Heskes (2013) plus 2014 proof supplement.","Main paper abstract p. 172 and complexity analysis p. 179; supplement Theorem 1 and proof, PDF pp. 10–11",primary_source,"src/fci_engine/diagnostics.py::DSEPDiagnostics; src/fci_engine/ci/cache.py::CITestCache","tests/test_published_reference_graphs.py"
FCIPLUS-EXPONENT-CAVEAT,"The supplement abstract's N^(2(k+1)) conflicts with its theorem/body and the main paper's N^(2(k+2)); the theorem/body value is used.","Claassen, Mooij, and Heskes (2014), Proof Supplement — Learning Sparse Causal Models is not NP-hard.","arXiv abstract versus Theorem 1, proof, and final sentence, PDF pp. 10–11; compare main paper p. 179",primary_source,"reports/research/fci_fci_plus_source_dossier.md","reports/research/claim_evidence_matrix.csv"
FCIPLUS-FIG4,"Figure 4(b) publishes a five-node MAG and exhibits separator {U,V,Z}; it does not print the repository's completed-PAG endpoint target or state uniqueness.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","§3.2 and Figure 4(b), pp. 175–176",primary_source,"src/fci_engine/simulation/mag_oracle.py::canonical_dsep_mag","tests/test_published_reference_graphs.py::test_fci_plus_removes_figure4_link_only_in_hierarchical_dsep_stage"
FCIPLUS-FINITE,"The authors warn that the worst-case polynomial remains large and hierarchy-derived conditioning sets may reduce finite-sample power.","Claassen, Mooij, and Heskes (2013), Learning Sparse Causal Models is not NP-hard.","§6 Discussion, p. 179",primary_source,"src/fci_engine/config.py::FCIPlusConfig.practical","tests/test_robust_application_profile.py"
IMPL-PAPER-FCI,"FCIConfig.paper() preserves unbounded search, immediate skeleton deletion, first-found separators, Possible-D-SEP, and the original orientation schedule.","FCI repository source, version 0.1.0.","src/fci_engine/config.py::FCIConfig.paper; inspected 2026-07-26",repository,"src/fci_engine/config.py::FCIConfig.paper","tests/test_config_validation.py; tests/test_published_reference_graphs.py"
IMPL-PAPER-FCIPLUS,"FCIPlusConfig.paper(k=...) requires explicit k, disables standard Possible-D-SEP, uses first-found separators, and selects Zhang-complete standard orientation.","FCI repository source, version 0.1.0.","src/fci_engine/config.py::FCIPlusConfig.paper; inspected 2026-07-26",repository,"src/fci_engine/config.py::FCIPlusConfig.paper","tests/test_fci_plus.py; tests/test_published_reference_graphs.py"
IMPL-ROBUST,"The practical robust FCI+ profile is an engineering extension with auto alpha, bounded search, stable skeleton, max-p separators, conservative colliders, and restricted tail orientation.","FCI repository source, version 0.1.0.","src/fci_engine/config.py::FCIPlusConfig.practical; inspected 2026-07-26",repository,"src/fci_engine/config.py::FCIPlusConfig.practical","tests/test_robust_application_profile.py"
IMPL-AUDIT,"FCIResult exposes sepsets, source provenance, CI traces, orientation events, D-SEP diagnostics, per-edge explanations, and reusable artifacts.","FCI repository source, version 0.1.0.","src/fci_engine/result.py::FCIResult; inspected 2026-07-26",repository,"src/fci_engine/result.py::FCIResult","tests/test_result_exports.py"
SW-PCALG,"CRAN pcalg 2.7-12 exposes standard fci() and fciPlus(), but the inspected fciPlus() public result has materially reduced separator provenance.","CRAN pcalg 2.7-12 official page, manual, and source tarball.","Package page and pcalg.pdf; fci.R and fciPlus.R in pcalg_2.7-12.tar.gz; accessed 2026-07-26",executed,"external: pcalg::fci; pcalg::fciPlus","local seeded three-variable smoke run documented in software_landscape.json"
SW-CAUSALLEARN,"causal-learn exposes standard FCI and named CI methods; no public FCI+ entry point was identified in the inspected official FCI API.","PyWhy causal-learn official documentation, PyPI record, and FCI source.","FCI documentation and causallearn/search/ConstraintBased/FCI.py; accessed 2026-07-26",executed,"external: causallearn.search.ConstraintBased.FCI.fci","tests/test_reference_causal_learn.py; tests/test_reference_complex_causal_learn.py"
SW-TETRAD,"Tetrad 7.6.10 documents standard FCI and several distinct FCI-family hybrids, but no drop-in Claassen et al. FCI+ API was established.","CMU Tetrad official release and source repository.","v7.6.10 release; Fci.java and search source tree; accessed 2026-07-26",documentation,"external: edu.cmu.tetrad.search.Fci","documentation-only record in software_landscape.json"
OUTPUT-SEMANTICS,"A PAG represents an equivalence class; adjacency does not automatically prove a direct effect, identify a latent variable, or estimate treatment effect.","Spirtes, Glymour, and Scheines (2000); Claassen, Mooij, and Heskes (2013).","Spirtes et al. Chapter 6 §§6.5–6.6, printed pp. 134–136 and Theorems 6.5–6.9 pp. 146–147; Claassen et al. preliminaries p. 173",primary_source,"src/fci_engine/graph/pag.py::PAG; src/fci_engine/result.py::FCIResult.assumption_notes","tests/test_pag_queries.py; tests/test_result_exports.py"
ORACLE-FIG4-QUERIES,"On the repository-derived oracle PAG target for the published Figure 4(b) MAG, the configured exact-m-separation runs recover the target with 102 logical CI queries for FCI and 63 for FCI+.","Executed repository oracle-validation run.","reports/data/oracle_validation_summary.csv rows regime=exact_oracle; target SHA-256 fa03c98d7851a4ba6327dcd136bc2076450451ff30cf312eeee6dbb2b71df7ea",executed,"reports/generate_oracle_validation_summary.py::generate_oracle_validation_summary; src/fci_engine/simulation/mag_oracle.py::canonical_dsep_mag","reports/data/oracle_validation_summary.csv"
ORACLE-FINITE-SAMPLE,"On the seed-1 Figure 4(b) latent SEM with fixed Fisher-Z alpha=0.001 and bound 3, FCI+ has exact-edge F1 0.923077 at N=5000 and 1.000000 at N=50000; standard FCI is exact in both recorded runs.","Executed repository oracle-validation run.","reports/data/oracle_validation_summary.csv rows regime=finite_sample, seed=1, n_samples in {5000,50000}",executed,"reports/generate_oracle_validation_summary.py::generate_oracle_validation_summary; src/fci_engine/simulation/mag_oracle.py::sample_canonical_dsep_data","reports/data/oracle_validation_summary.csv"
ORACLE-SCALING,"Across the committed 5–80 node exact-oracle audit, both paper profiles recover every target skeleton; FCI+ reduces queries on the five-node Figure 4(b) core but is not uniformly cheaper on chains or after isolated variables are added.","Executed repository exact-oracle scaling audit.","reports/data/scaling_benchmark.csv rows graph_family in {directed_chain,figure4b_plus_isolates}",executed,"reports/generate_scaling_benchmark.py::generate_scaling_benchmark","tests/test_scaling_benchmark.py; reports/data/scaling_benchmark.csv"
